customer_id,transaction_id,transaction_date,amount
3554,3950,05/03/2024,62.14
1100,2602,03/01/2024,238.18
3641,1776,16/10/2024,43.86
1192,3444,06/03/2022,57.48
4986,406,19/10/2024,107.35
5045,5584,17/04/2023,366.98
1841,1845,31/01/2023,376.82
3132,4086,23/07/2024,481.51
4877,5659,10/04/2023,389.69
4379,8043,15/08/2023,334.83
1242,7402,22/07/2023,23.26
3329,4604,19/04/2024,298.18
2928,8310,24/02/2022,235.88
3403,603,12/11/2023,497.95
4864,6348,20/01/2022,329.84
1306,10333,24/01/2022,459.8
52,7380,04/10/2023,150.57
700,3220,10/01/2025,221.3
1479,8391,12/10/2023,291.38
3452,5987,23/08/2023,105.36
1596,7665,15/08/2024,229.3
1198,7919,19/10/2024,127.65
4402,4005,17/05/2022,119.88
3723,9602,04/03/2023,116.06
3455,8306,30/11/2022,53.5
2927,546,09/08/2022,368.63
4283,3676,14/02/2022,311.44
4226,9370,20/08/2022,119.41
783,6856,25/10/2024,56.96
621,10416,12/06/2024,28.71
1158,8284,04/12/2024,225.24
1706,5636,02/12/2022,315.65
2910,430,28/03/2024,293.56
2879,5848,20/05/2023,440.45
4368,4351,02/02/2024,324.85
4560,8588,11/05/2024,135.37
3435,915,11/08/2022,94.49
4680,3078,03/07/2024,471.65
1297,6882,08/02/2024,129.2
3909,126,30/05/2023,353.06
174,9105,30/12/2024,82.1
1375,5625,25/04/2024,129.89
2254,2365,27/09/2023,227.27
430,8557,31/10/2022,214.18
2290,8869,04/04/2024,432.36
4975,5935,27/03/2023,269.95
1787,9957,22/10/2023,495.58
1806,5836,31/03/2024,243.71
3931,4750,26/04/2022,457.85
3926,9910,04/06/2024,292.88
4977,6653,28/07/2022,452.04
2150,8741,27/08/2024,350.17
5197,3584,04/07/2023,372.75
4746,3477,17/02/2023,137.35
4816,9973,22/02/2024,305.97
1307,1715,29/02/2024,427.04
273,8269,06/04/2023,423.8
4961,10040,13/11/2024,28.19
257,9416,27/04/2024,258.57
1883,96,08/11/2023,288.98
4908,3463,09/04/2024,342.97
1677,1670,31/12/2022,68.96
263,9765,02/10/2023,374.13
1667,6744,31/03/2024,350.06
2836,9399,04/03/2024,219.98
3694,9544,09/08/2022,181.79
1266,693,26/10/2023,374.43
3490,2856,04/08/2023,434.63
4339,10446,29/06/2023,326.17
360,1791,03/05/2024,158.12
784,7151,11/03/2022,465.62
5088,2644,11/02/2023,343.26
4387,10069,02/09/2024,445.68
56,6107,28/07/2022,161.71
1088,6495,30/11/2023,152.67
1245,8500,03/04/2023,346.64
2285,616,19/01/2023,166.51
2198,8631,26/02/2022,310.43
4711,6466,26/04/2022,303.73
2938,4725,07/12/2023,264.84
4470,386,28/01/2024,405.64
2288,4852,06/06/2023,435.98
1620,10420,03/05/2023,169.78
4414,9280,24/09/2022,193.41
1506,8482,07/07/2023,302.84
1500,3846,15/09/2022,454.19
1141,1879,08/09/2022,403.1
1698,3246,19/04/2024,23.06
4263,9065,30/09/2023,393.82
35,8940,15/02/2024,210.04
3538,1068,17/10/2023,337.84
2837,7897,26/07/2022,426.72
1091,8384,07/07/2024,190.74
1946,2933,28/09/2024,190.65
4206,6453,15/12/2023,389.43
1017,8025,03/02/2024,264.11
4150,8836,15/02/2022,433.35
2636,1317,08/11/2022,191.48
3987,5484,08/01/2023,165.84
3643,8773,03/05/2024,320.46
524,4596,01/01/2023,32.28
213,7098,16/08/2024,136.91
3970,6032,10/09/2022,484.22
3895,5879,02/04/2023,456.5
521,6221,20/12/2022,151.74
869,5399,03/08/2022,450.84
4172,7482,18/05/2024,89.92
1066,5295,23/05/2022,145.27
5129,180,19/06/2022,27.46
4053,5045,30/11/2023,347.84
2626,1841,03/11/2023,392.51
2251,905,03/10/2022,367.52
4014,2013,12/12/2023,341.99
1102,2457,18/03/2022,25.43
3135,1056,24/05/2023,30.63
3565,4685,18/10/2023,317.85
1958,7795,05/04/2024,331.84
1686,1,17/08/2022,195.87
2951,1332,17/08/2022,119.68
4023,10068,17/03/2023,370.32
2059,316,19/11/2023,241.33
1141,3707,10/09/2023,470.97
5108,9659,10/06/2023,317.13
3351,8259,07/05/2024,210.18
502,1469,06/11/2024,226.83
686,6810,17/08/2023,193.16
1494,7547,18/06/2024,72.32
1209,478,05/12/2022,108.2
451,7296,01/06/2023,209.32
540,3752,18/04/2024,38.87
2352,4362,31/12/2024,318.85
4915,2614,24/08/2022,232.82
4616,8578,09/10/2023,368.23
1554,7474,05/05/2022,135.24
2431,7747,04/06/2024,285.17
2536,4300,21/04/2024,443.56
4467,6095,06/05/2022,461.4
1869,2742,13/04/2023,264.8
2690,10326,25/05/2022,85.52
230,4072,03/10/2023,193.19
542,6808,07/06/2024,133.82
5156,4141,28/06/2023,353.13
7,7989,09/01/2024,155.46
1653,6505,11/08/2022,108.78
2343,4106,15/02/2022,35.79
2068,539,29/01/2022,218.59
2392,5920,07/02/2024,87.29
1525,1122,06/03/2023,425.47
1936,7968,24/05/2022,225.2
2398,5471,18/01/2024,223.21
1268,6378,12/07/2022,100.31
29,3660,23/12/2024,191.33
2406,10143,24/08/2024,212.02
616,7050,06/08/2024,388.58
3301,8674,09/03/2023,320.17
4293,1248,10/02/2022,426.12
3880,525,31/01/2022,358.89
1608,6848,25/06/2023,16.0
2103,6500,21/09/2024,432.17
1471,4620,21/11/2022,142.37
5121,6900,01/09/2025,186.66
1181,6968,01/10/2024,376.85
2037,9254,24/03/2023,71.22
875,7461,08/07/2024,189.25
2053,10089,11/03/2022,239.94
1368,9728,15/06/2024,392.2
3244,1603,08/08/2024,350.35
2793,8995,13/02/2024,424.11
571,4946,18/03/2024,453.83
1368,113,11/11/2024,495.07
3331,6506,04/09/2022,456.95
160,2803,23/02/2023,282.18
4371,2488,05/03/2024,475.29
2707,3288,07/04/2024,317.15
3049,6054,16/12/2023,459.02
1641,8353,09/06/2023,433.81
5018,5325,06/10/2023,251.6
751,1461,30/11/2023,11.88
1881,3033,03/11/2022,297.3
