transaction_id,customer_id,transaction_date,amount
3950,3554,"Mar 05, 2024",62.14
2602,1100,03-01-2024,238.18
1776,3641,16 Oct 2024,43.86
3444,1192,"Mar 06, 2022",57.48
406,4986,2024-10-19,107.35
5584,5045,"Apr 17, 2023",366.98
1845,1841,2023-01-31,376.82
4086,3132,23 Jul 2024,481.51
5659,4877,10/04/2023,389.69
8043,4379,15-08-2023,334.83
7402,1242,22-07-2023,23.26
4604,3329,2024-04-19,298.18
8310,2928,2022-02-24,235.88
603,3403,"Nov 12, 2023",497.95
6348,4864,2022-01-20,329.84
10333,1306,24 Jan 2022,459.8
7380,52,04 Oct 2023,150.57
3220,700,"Jan 10, 2025",221.3
8391,1479,12/10/2023,291.38
5987,3452,"Aug 23, 2023",105.36
7665,1596,"Aug 15, 2024",229.3
7919,1198,19 Oct 2024,127.65
4903,3205,06/24/2022,491.2
5997,3064,06/21/2022,115.33
4005,4402,"May 17, 2022",119.88
9602,3723,"Mar 04, 2023",116.06
8306,3455,30 Nov 2022,53.5
8429,4408,,188.69
546,2927,2022-08-09,368.63
3676,4283,14 Feb 2022,311.44
9370,4226,20-08-2022,119.41
6856,783,25-10-2024,56.96
10416,621,12-06-2024,28.71
2850,1495,12/31/2024,60.15
3705,4533,05-12-2024,
2873,19,02/24/2022,194.3
8284,1158,04-12-2024,225.24
5636,1706,02 Dec 2022,315.65
430,2910,"Mar 28, 2024",293.56
5848,2879,"May 20, 2023",440.45
4351,4368,"Feb 02, 2024",324.85
8588,4560,11/05/2024,135.37
915,3435,"Aug 11, 2022",94.49
3078,4680,03 Jul 2024,471.65
6882,1297,2024-02-08,129.2
8188,5169,,430.74
126,3909,"May 30, 2023",353.06
9105,174,2024-12-30,82.1
5625,1375,2024-04-25,129.89
2365,2254,2023-09-27,227.27
8557,430,31 Oct 2022,214.18
2748,2333,10/24/2023,415.73
8869,2290,2024-04-04,432.36
5935,4975,27-03-2023,269.95
9957,1787,22 Oct 2023,495.58
5836,1806,31-03-2024,243.71
4750,3931,2022-04-26,457.85
9910,3926,04/06/2024,292.88
6653,4977,28-07-2022,452.04
8741,2150,27-08-2024,350.17
3584,5197,"Jul 04, 2023",372.75
2408,3481,07/17/2023,133.07
3477,4746,"Feb 17, 2023",137.35
9973,4816,"Feb 22, 2024",305.97
1715,1307,"Feb 29, 2024",427.04
8269,273,"Apr 06, 2023",423.8
10040,4961,13 Nov 2024,28.19
9416,257,27-04-2024,258.57
96,1883,"Nov 08, 2023",288.98
3463,4908,2024-04-09,342.97
1670,1677,2022-12-31,68.96
9765,263,2023-10-02,374.13
6744,1667,2024-03-31,350.06
9399,2836,04/03/2024,219.98
9544,3694,"Aug 09, 2022",181.79
2661,756,03/28/2023,135.02
693,1266,26-10-2023,374.43
2856,3490,04/08/2023,434.63
10446,4339,2023-06-29,326.17
1791,360,"May 03, 2024",158.12
9187,3084,10/29/2024,187.33
7151,784,11 Mar 2022,465.62
2644,5088,11/02/2023,343.26
10069,4387,"Sep 02, 2024",445.68
6107,56,2022-07-28,161.71
6495,1088,2023-11-30,152.67
8500,1245,03/04/2023,346.64
616,2285,19-01-2023,166.51
8631,2198,26-02-2022,310.43
6466,4711,2022-04-26,303.73
4725,2938,"Dec 07, 2023",264.84
386,4470,28 Jan 2024,405.64
4852,2288,06-06-2023,435.98
10420,1620,"May 03, 2023",169.78
9280,4414,"Sep 24, 2022",193.41
8482,1506,2023-07-07,302.84
3846,1500,2022-09-15,454.19
1879,1141,"Sep 08, 2022",403.1
3246,1698,19 Apr 2024,23.06
9051,1563,10/19/2023,177.1
9065,4263,30 Sep 2023,393.82
8940,35,15-02-2024,210.04
1068,3538,17-10-2023,337.84
7897,2837,26 Jul 2022,426.72
8384,1091,07 Jul 2024,190.74
2933,1946,28-09-2024,190.65
6453,4206,2023-12-15,389.43
8025,1017,03 Feb 2024,264.11
8836,4150,2022-02-15,433.35
1317,2636,08-11-2022,191.48
5484,3987,2023-01-08,165.84
8773,3643,03 May 2024,320.46
4596,524,"Jan 01, 2023",32.28
7098,213,16-08-2024,136.91
3599,4881,07/13/2022,70.43
10476,221,02/21/2023,148.33
6032,3970,10-09-2022,484.22
5879,3895,02-04-2023,456.5
6221,521,20-12-2022,151.74
5399,869,03 Aug 2022,450.84
1379,2923,09/13/2024,109.47
7482,4172,18 May 2024,89.92
6703,4146,10/27/2024,334.33
5295,1066,2022-05-23,145.27
7159,3159,01/26/2022,118.79
